frame1,frame2,image_diff,gt_diff,,,,,,
00054204.png,00054205.png,8.33133888244629,5.63492393493652,0.72,,,,,
00054205.png,00054206.png,8.4166202545166,5.85161685943604,0.22,,,,,
00054206.png,00054207.png,12.3725833892822,6.21009159088135,0.36,,,,,
00054207.png,00054208.png,12.219744682312,7.06014680862427,0.85,,,,,
00054208.png,00054209.png,8.3080997467041,6.12301445007324,0.94,,,,,
00054209.png,00054210.png,8.16271018981934,5.31217241287231,0.81,,,,,
00054210.png,00054211.png,8.02761173248291,5.47102069854736,0.16,,,,,
00054211.png,00054212.png,7.97443914413452,5.45806694030762,0.01,,,,,
00054212.png,00054213.png,8.10867309570313,4.98382520675659,0.47,,,,,
00054213.png,00054214.png,12.5158786773682,6.39440870285034,1.41,,,,,
00054214.png,00054215.png,8.36297225952148,5.36531496047974,1.03,,,,,
00054215.png,00054216.png,8.22979736328125,6.12890625,0.76,,,,,
00054216.png,00054217.png,8.1688871383667,6.43271923065186,0.30,,,,,
00054217.png,00054218.png,8.07405471801758,5.7915186882019,0.64,,,,,
00054218.png,00054219.png,12.6636905670166,8.55335426330566,2.76,,,,,
00054219.png,00054220.png,8.16854667663574,5.56024265289307,2.99,,,,,
00054220.png,00054221.png,8.15115833282471,6.73185110092163,1.17,,,,,
00054221.png,00054222.png,8.23845100402832,7.2767186164856,0.54,,,,,
00054222.png,00054223.png,8.17740917205811,6.87171125411987,0.41,,,,,
00054223.png,00054224.png,8.18637657165527,6.79009962081909,0.08,,,,,
00054224.png,00054225.png,13.0269346237183,8.94176864624023,2.15,,,,,
00054225.png,00054226.png,8.58655643463135,8.61914730072022,0.32,,,,,
00054226.png,00054227.png,8.64682769775391,8.24767398834229,0.37,,,,,
00054227.png,00054228.png,13.423680305481,10.6988954544067,2.45,,,,,
00054228.png,00054229.png,8.71389007568359,6.96215581893921,3.74,,,,,
00054229.png,00054230.png,8.62788581848145,6.24062776565552,0.72,,,,,
00054230.png,00054231.png,8.73541069030762,7.51195812225342,1.27,,,,,
00054231.png,00054232.png,8.58472537994385,7.15736150741577,0.35,,,,,
00054232.png,00054233.png,13.096305847168,7.40655851364136,0.25,,,,,
00054233.png,00054234.png,8.60392284393311,5.28370714187622,2.12,,,,,
00054234.png,00054235.png,8.88862609863281,8.00727272033691,2.72,,,,,
00054235.png,00054236.png,8.90008735656738,8.38041877746582,0.37,,,,,
00054236.png,00054237.png,13.9401941299438,10.0307064056396,1.65,,,,,
